region,soil_type,temperature,rainfall,seed_variety,fertilizer_amount,pesticide_use,farmer_experience,land_size,planting_date,previous_crop,irrigation,yield
Northern,loam,26.5,1097.2,local,37.8,0,3,2.83,late,soybean,0,1.92
Central,sandy,22.0,1178.8,OPV,56.3,1,30,3.83,late,maize,1,2.5
Central,sandy,26.1,1175.1,hybrid,62.7,1,6,3.34,normal,soybean,0,2.31
Central,loam,20.2,999.7,local,212.7,0,29,2.97,normal,maize,1,5.2
Southern,clay,24.7,504.1,hybrid,140.3,1,8,3.6,early,groundnuts,0,3.18
Southern,clay,25.5,1006.6,hybrid,130.8,0,12,1.15,normal,none,1,4.29
Southern,sandy,18.7,419.7,hybrid,28.7,0,13,3.18,normal,soybean,0,2.86
Northern,loam,22.7,417.7,local,215.0,0,11,1.27,normal,none,0,4.28
Southern,clay,19.9,658.9,OPV,180.7,1,12,4.66,late,none,1,3.12
Northern,loam,18.9,790.9,OPV,16.9,1,1,0.81,normal,soybean,1,2.63
Northern,loam,31.9,1016.3,local,177.0,1,17,2.44,late,soybean,1,4.14
Southern,sandy,22.5,946.6,hybrid,135.9,0,16,3.63,early,groundnuts,1,3.48
Northern,clay,29.3,756.7,local,20.4,1,11,2.56,early,maize,0,1.82
Southern,sandy,21.6,618.9,local,114.6,0,13,0.91,late,maize,0,2.87
Southern,clay,27.5,1197.7,local,121.2,1,18,2.99,late,none,0,3.12
Central,clay,28.6,740.9,hybrid,41.4,0,11,3.39,late,soybean,1,2.56
Southern,clay,26.3,761.1,local,236.4,0,28,3.67,normal,groundnuts,0,3.94
Central,clay,24.6,530.9,hybrid,212.5,0,12,2.18,early,groundnuts,0,4.47
Southern,clay,23.8,1035.8,local,167.3,1,6,3.04,late,groundnuts,1,3.28
Southern,loam,22.9,954.9,OPV,115.6,0,9,2.53,normal,groundnuts,1,3.98
Central,sandy,31.0,576.6,local,102.9,0,16,3.52,early,groundnuts,0,2.39
Central,loam,29.6,465.9,local,162.7,0,4,3.13,normal,maize,1,4.06
Southern,clay,31.5,944.4,OPV,136.4,0,3,2.87,early,maize,0,3.8
Northern,sandy,19.7,923.6,hybrid,15.6,0,28,1.62,normal,maize,0,2.86
Central,clay,28.2,618.6,hybrid,128.1,0,16,0.51,early,soybean,1,3.99
Northern,sandy,31.1,1160.7,local,201.6,1,24,1.28,early,none,0,3.69
Northern,loam,20.5,520.8,OPV,114.8,1,27,1.03,normal,groundnuts,1,4.13
Northern,sandy,18.9,745.9,hybrid,13.0,0,26,2.52,late,soybean,1,2.9
Central,sandy,28.4,1154.9,local,196.6,1,30,3.26,early,groundnuts,0,3.63
Northern,sandy,26.0,735.8,OPV,50.3,1,25,1.46,late,maize,0,2.37
Central,sandy,29.8,910.8,hybrid,64.7,0,12,4.73,normal,soybean,0,2.8
Northern,sandy,20.0,718.1,hybrid,41.2,0,11,0.53,late,maize,1,2.38
Southern,clay,29.1,619.4,OPV,82.6,0,5,3.98,late,groundnuts,0,2.11
Southern,sandy,20.8,1187.2,OPV,189.2,1,25,3.31,late,groundnuts,1,4.04
Central,sandy,20.3,727.5,OPV,129.8,0,18,2.18,late,none,1,3.14
Southern,loam,20.3,1115.3,OPV,51.2,1,19,0.73,late,groundnuts,0,3.19
Southern,sandy,29.4,584.0,local,219.5,0,23,3.32,early,maize,1,3.89
Northern,loam,27.3,570.5,OPV,219.9,1,23,2.24,early,groundnuts,0,5.38
Central,clay,25.3,424.9,hybrid,217.6,0,6,4.71,early,none,0,4.23
Northern,sandy,23.0,921.3,hybrid,59.7,0,22,2.94,normal,none,0,3.45
Northern,loam,30.3,694.8,local,112.8,1,18,4.73,late,maize,0,2.81
Northern,loam,23.5,1091.5,hybrid,246.2,1,26,1.49,early,soybean,0,5.5
Northern,clay,29.4,778.6,hybrid,193.0,1,6,3.77,normal,groundnuts,0,4.44
Northern,sandy,24.1,1174.6,OPV,6.8,1,4,3.28,early,none,0,1.46
Northern,sandy,23.3,548.4,hybrid,16.3,1,12,3.83,early,groundnuts,1,2.68
Northern,loam,24.5,1094.9,local,116.0,1,19,1.47,late,groundnuts,0,3.77
Central,sandy,22.2,1021.3,OPV,227.3,0,29,3.49,normal,soybean,1,3.89
Southern,loam,28.5,1016.7,OPV,134.7,1,27,2.74,late,none,1,4.39
Northern,sandy,25.0,1075.8,local,124.5,0,29,3.84,late,groundnuts,1,2.28
Northern,loam,21.3,1008.8,OPV,26.4,0,2,1.97,early,none,0,2.31
Northern,sandy,30.6,901.0,OPV,164.2,1,17,4.51,late,maize,1,4.02
Northern,clay,23.4,505.0,local,205.5,0,11,0.88,normal,maize,1,3.8
Northern,sandy,25.6,426.0,OPV,95.1,1,11,4.13,late,groundnuts,0,2.17
Northern,sandy,30.7,1136.7,local,193.9,1,21,4.38,late,none,0,3.35
Southern,clay,26.7,893.3,local,241.1,0,16,4.18,late,groundnuts,1,4.85
Southern,sandy,19.6,1037.2,hybrid,50.9,0,2,2.81,early,none,0,1.9
Northern,clay,31.2,785.2,hybrid,130.8,1,2,2.47,normal,none,0,3.28
Southern,sandy,26.8,493.8,OPV,71.8,1,23,4.98,early,soybean,0,3.18
Central,loam,22.7,500.1,OPV,198.2,0,8,1.53,early,soybean,0,5.0
Northern,loam,19.9,948.5,local,144.4,0,13,2.96,early,soybean,1,3.87
Central,sandy,29.1,744.2,OPV,158.6,0,10,3.52,early,groundnuts,0,2.91
Central,sandy,26.7,560.4,local,199.5,0,8,3.65,early,soybean,0,3.98
Northern,sandy,25.5,793.3,local,99.0,1,30,1.42,normal,soybean,0,3.32
Southern,loam,30.5,451.4,OPV,228.8,1,4,3.44,late,maize,1,4.92
Central,sandy,29.0,865.6,local,133.3,1,15,4.18,early,none,1,2.84
Northern,loam,20.1,615.2,hybrid,39.5,1,30,0.73,early,none,0,3.73
Central,clay,22.4,1038.0,OPV,174.0,0,1,4.6,normal,soybean,0,3.51
Central,loam,21.5,648.3,hybrid,198.3,0,11,0.63,normal,none,1,5.2
Central,loam,28.4,764.2,OPV,79.2,1,7,2.1,late,maize,0,3.52
Central,clay,18.5,409.3,local,214.3,1,17,0.57,normal,maize,0,4.3
Southern,loam,26.0,458.0,OPV,226.5,1,27,0.85,late,soybean,1,4.83
Central,sandy,28.7,714.0,hybrid,69.2,1,20,4.6,early,maize,0,3.45
Central,sandy,30.3,784.0,local,245.9,1,24,2.1,early,none,0,4.28
Central,loam,22.8,880.0,OPV,35.2,1,18,2.41,late,groundnuts,1,3.27
Southern,sandy,29.5,633.3,OPV,50.5,1,22,1.47,normal,none,1,3.13
Central,loam,19.5,956.0,OPV,46.1,1,29,3.19,late,groundnuts,0,2.86
Central,sandy,29.9,1088.1,hybrid,223.5,1,22,3.18,normal,soybean,1,4.81
Southern,sandy,19.8,1023.9,hybrid,163.6,0,12,2.17,early,groundnuts,0,3.62
Southern,loam,23.6,431.7,OPV,38.0,1,9,2.0,normal,maize,0,2.44
Southern,sandy,29.2,784.4,local,110.1,0,5,4.48,late,none,0,2.31
Central,loam,20.1,483.9,local,153.8,0,10,2.22,late,groundnuts,1,4.49
Southern,sandy,21.2,593.6,hybrid,20.9,1,4,2.72,early,none,1,1.89
Southern,sandy,28.1,1189.3,local,220.6,1,5,1.77,normal,soybean,0,3.55
Central,clay,28.1,514.0,hybrid,200.9,0,28,4.04,normal,soybean,0,4.96
Southern,clay,27.0,799.1,OPV,126.3,0,28,2.29,normal,maize,1,3.86
Central,loam,27.7,894.5,hybrid,241.8,1,10,2.81,early,soybean,1,5.5
Northern,clay,25.6,962.0,hybrid,104.4,0,11,1.64,normal,groundnuts,1,3.27
Southern,loam,21.5,847.7,OPV,246.0,1,21,4.94,late,soybean,0,5.1
Northern,clay,22.8,407.8,local,167.0,1,24,1.81,normal,maize,1,3.67
Central,sandy,20.5,661.2,hybrid,158.7,1,10,3.97,early,none,1,3.28
Southern,loam,30.7,814.2,hybrid,41.5,0,28,2.42,normal,none,0,4.03
Central,loam,26.2,470.3,OPV,220.5,0,8,1.43,normal,soybean,0,4.95
Northern,sandy,23.6,680.5,local,106.9,1,2,4.1,late,groundnuts,0,2.17
Central,loam,24.5,426.6,hybrid,40.6,0,23,2.0,normal,maize,1,3.83
Southern,loam,31.3,462.9,OPV,3.2,0,8,4.39,late,groundnuts,0,2.61
Southern,clay,20.1,717.5,hybrid,139.9,0,16,4.62,late,maize,0,3.79
Northern,loam,26.2,506.2,OPV,131.8,0,27,4.37,early,soybean,0,4.43
Central,sandy,25.1,854.0,local,179.8,0,22,0.66,late,maize,0,3.15
Southern,clay,26.6,951.6,local,222.6,0,5,4.04,late,maize,1,4.22
Northern,clay,18.3,1040.5,local,19.9,0,27,2.35,early,soybean,0,2.34
Southern,sandy,30.2,560.1,local,182.9,1,25,4.43,late,groundnuts,1,3.64
Southern,sandy,31.0,534.0,hybrid,46.9,0,29,3.37,early,soybean,1,2.77
Central,clay,25.9,483.7,hybrid,214.5,0,3,4.25,normal,maize,1,4.69
Southern,loam,27.8,909.1,local,204.8,0,12,2.75,early,soybean,0,4.04
Central,clay,30.9,965.2,local,135.2,0,13,2.91,late,maize,1,2.92
Southern,sandy,27.9,425.3,local,177.6,0,13,1.15,early,soybean,0,2.99
Northern,clay,20.1,1149.0,hybrid,78.6,0,10,4.03,late,none,0,2.67
Southern,sandy,26.1,441.6,local,117.8,0,4,2.39,normal,none,0,3.1
Central,clay,26.5,833.0,local,205.4,0,9,2.75,early,soybean,1,4.33
Central,loam,23.9,967.2,local,114.8,1,22,4.03,normal,groundnuts,0,4.21
Northern,clay,28.3,1096.8,OPV,89.4,0,24,3.19,late,maize,0,2.61
Southern,clay,31.1,971.3,local,123.6,0,23,1.4,late,none,0,3.02
Southern,sandy,31.0,1041.4,OPV,207.1,0,27,3.16,normal,groundnuts,1,3.92
Northern,sandy,24.3,671.6,OPV,83.8,0,2,2.33,early,maize,1,2.37
Southern,sandy,19.6,1051.9,local,43.4,1,19,2.61,early,none,1,1.99
Southern,clay,31.8,464.1,OPV,178.0,1,1,0.63,late,none,0,3.82
Central,loam,29.7,1115.9,local,206.5,1,25,1.45,normal,soybean,1,4.7
Southern,sandy,19.7,838.1,hybrid,25.2,1,29,1.76,normal,maize,0,3.1
Southern,sandy,30.9,1053.8,hybrid,60.0,1,7,3.71,early,groundnuts,0,2.87
Northern,clay,30.2,761.9,hybrid,35.5,1,17,0.55,early,groundnuts,1,3.84
Northern,sandy,25.3,914.9,hybrid,87.0,1,3,2.34,early,groundnuts,0,2.44
Central,loam,26.3,821.1,OPV,112.6,1,20,4.66,normal,maize,1,4.45
Southern,loam,23.6,985.3,local,187.2,1,20,1.0,early,groundnuts,0,4.67
Southern,sandy,18.8,465.3,local,162.8,1,21,2.82,early,groundnuts,1,3.21
Southern,sandy,22.7,448.3,local,155.2,1,30,4.04,late,groundnuts,0,3.5
Central,clay,29.2,597.7,hybrid,88.1,1,3,4.74,early,soybean,0,3.29
Central,loam,18.1,527.6,hybrid,210.4,1,3,3.86,early,soybean,0,4.85
Northern,loam,22.7,1097.4,local,117.8,1,17,3.74,normal,maize,0,3.32
Central,sandy,23.6,575.4,hybrid,244.8,1,7,4.22,normal,maize,0,4.32
Southern,clay,25.5,1180.7,local,158.5,1,27,2.51,late,groundnuts,1,4.29
Southern,loam,30.9,669.5,local,31.6,0,26,4.13,early,soybean,0,2.84
Central,loam,22.8,545.7,local,169.0,1,14,0.54,late,none,1,4.25
Southern,clay,22.9,1031.8,local,81.3,0,17,4.66,normal,none,1,2.62
Southern,clay,28.3,927.0,local,171.6,1,18,2.49,late,groundnuts,1,3.39
Central,loam,24.3,798.6,local,17.4,1,13,2.99,normal,groundnuts,0,2.81
Central,loam,21.1,844.3,local,43.7,0,20,1.65,late,soybean,0,2.23
Southern,clay,24.3,975.4,hybrid,213.9,1,29,3.84,late,soybean,0,4.64
Southern,loam,20.0,582.8,local,56.8,0,20,0.84,early,soybean,1,3.18
Southern,sandy,20.5,1197.1,local,209.3,0,21,4.43,late,maize,0,3.55
Northern,sandy,25.0,1179.8,hybrid,69.8,0,27,4.23,early,maize,0,3.08
Northern,clay,23.9,920.3,hybrid,160.7,1,18,1.47,early,groundnuts,1,4.54
Northern,clay,30.8,559.6,hybrid,173.5,1,4,4.14,early,maize,1,4.47
Central,clay,23.1,944.2,local,128.2,1,1,4.04,early,soybean,1,3.27
Northern,sandy,26.1,457.8,OPV,76.3,0,18,3.34,late,soybean,1,2.33
Central,loam,26.9,424.5,OPV,53.2,0,1,2.18,normal,maize,1,2.97
Central,sandy,18.2,606.1,hybrid,8.3,1,26,1.72,normal,none,1,3.11
Northern,loam,27.3,770.1,OPV,76.0,1,26,1.54,normal,groundnuts,0,3.9
Northern,sandy,20.5,1094.6,hybrid,163.3,1,13,1.93,late,none,1,3.43
Northern,loam,31.5,981.7,local,234.6,1,20,4.57,early,groundnuts,0,4.9
Southern,sandy,20.1,994.2,OPV,217.8,1,20,0.85,normal,none,0,3.53
Northern,clay,23.8,740.4,local,191.5,0,23,4.23,late,maize,0,3.69
Southern,sandy,19.2,676.7,OPV,197.1,0,10,2.07,early,groundnuts,1,4.44
Central,loam,32.0,696.8,local,166.2,0,27,2.85,normal,groundnuts,0,3.92
Southern,sandy,25.0,1190.1,OPV,65.1,1,11,4.08,early,groundnuts,1,2.37
Northern,sandy,26.3,432.1,local,226.8,0,9,4.48,normal,soybean,1,4.08
Central,sandy,18.9,1093.6,local,167.7,0,9,2.05,normal,soybean,0,2.59
Central,clay,28.5,862.9,OPV,140.1,0,5,2.58,normal,none,1,3.31
Central,sandy,20.9,750.9,local,27.7,0,26,2.37,early,maize,0,2.18
Southern,clay,30.6,980.2,local,111.8,0,1,0.56,late,soybean,0,2.25
Northern,clay,20.9,789.3,local,115.1,1,17,1.83,early,groundnuts,1,3.17
Central,sandy,20.7,1098.7,OPV,216.1,0,22,2.57,normal,soybean,0,4.32
Central,sandy,18.5,1120.6,OPV,136.7,1,2,2.35,early,maize,0,3.08
Central,sandy,24.6,737.4,local,95.1,1,24,3.75,late,soybean,0,2.56
Southern,loam,25.9,621.5,local,244.2,1,13,2.23,early,groundnuts,1,4.85
Southern,sandy,18.9,873.9,OPV,27.7,1,9,2.7,late,none,0,1.92
Northern,clay,28.9,1129.9,OPV,105.6,1,29,2.43,late,groundnuts,1,3.45
Southern,sandy,24.3,568.5,local,10.5,0,4,3.83,early,maize,1,1.72
Central,loam,25.3,898.4,local,185.0,0,5,4.38,normal,none,0,3.8
Northern,sandy,24.2,905.2,local,229.5,1,11,2.89,late,soybean,0,3.51
Central,loam,23.6,986.5,hybrid,70.0,1,24,4.05,early,soybean,1,3.83
Central,loam,25.8,505.3,OPV,214.6,1,19,1.84,late,soybean,1,4.87
Southern,sandy,20.2,972.7,hybrid,73.1,0,21,2.94,normal,none,0,2.81
Northern,clay,20.5,1127.2,OPV,227.7,1,3,2.05,early,groundnuts,0,3.85
Southern,loam,30.1,543.7,OPV,188.5,0,12,2.36,early,none,1,4.7
Southern,sandy,31.2,590.0,OPV,201.2,1,26,3.8,early,none,1,4.35
Northern,sandy,23.2,1177.1,OPV,4.5,0,19,4.47,normal,maize,1,2.36
Central,clay,21.8,544.8,OPV,240.7,1,19,1.05,late,none,1,4.51
Central,loam,27.0,1083.5,OPV,181.7,0,13,3.36,early,soybean,1,4.7
Northern,loam,23.7,793.8,OPV,76.2,1,28,3.12,late,groundnuts,0,3.64
Central,sandy,18.4,597.8,hybrid,207.3,0,7,1.03,late,groundnuts,1,4.25
Northern,sandy,20.2,1096.6,local,70.4,0,15,1.45,normal,groundnuts,1,2.16
Northern,clay,28.0,756.2,local,218.2,0,23,1.9,early,soybean,0,4.19
Southern,clay,27.2,811.9,hybrid,28.1,0,7,1.25,late,soybean,0,2.53
Northern,loam,18.4,687.4,hybrid,175.9,0,26,1.6,early,soybean,1,5.18
Southern,loam,21.1,874.4,hybrid,135.2,0,8,1.7,early,soybean,1,3.79
Central,sandy,21.2,530.8,hybrid,24.1,0,5,2.01,normal,soybean,0,2.29
Central,loam,27.4,712.9,OPV,60.5,1,21,3.87,early,none,1,4.24
Central,clay,18.3,1175.5,local,3.1,1,14,3.07,early,soybean,1,1.95
Central,clay,19.5,606.5,OPV,117.2,1,4,4.94,late,soybean,0,2.68
Southern,sandy,29.2,925.4,local,75.3,1,23,2.37,normal,soybean,1,2.78
Central,clay,20.5,660.2,local,149.6,1,10,3.89,early,soybean,0,3.34
Northern,clay,27.1,1018.8,hybrid,74.3,0,20,4.42,late,groundnuts,0,3.5
Northern,clay,21.3,504.7,OPV,75.0,0,15,3.56,normal,soybean,0,2.47
Northern,clay,19.4,1175.9,hybrid,185.8,0,18,2.35,normal,none,0,4.64
Southern,sandy,21.4,763.0,OPV,12.0,0,20,3.89,late,none,1,2.2
Central,sandy,28.1,588.8,local,225.7,0,13,1.42,late,none,0,3.47
Central,loam,30.0,458.8,hybrid,213.1,1,29,1.97,late,maize,1,5.5
Central,clay,29.6,535.8,hybrid,167.0,1,8,2.96,late,groundnuts,1,4.39
Southern,loam,23.6,815.8,local,148.3,1,9,3.09,late,soybean,1,3.97
Northern,sandy,27.4,669.6,local,223.1,1,16,0.6,early,maize,1,3.66
Northern,sandy,20.9,1063.1,local,46.3,0,19,4.75,early,soybean,1,2.49
Central,sandy,22.1,744.7,hybrid,19.7,0,16,3.63,normal,maize,0,2.4
Northern,sandy,30.5,599.0,OPV,59.9,0,7,2.73,early,maize,0,2.26
Northern,sandy,18.2,893.7,hybrid,198.6,1,14,4.7,early,none,0,4.24
Southern,sandy,19.2,965.4,OPV,8.7,0,28,2.48,early,none,0,2.1
Southern,sandy,20.9,533.6,hybrid,145.7,1,14,4.91,late,maize,1,4.04
Southern,clay,18.4,534.1,hybrid,248.9,0,25,2.81,normal,none,0,5.16
Southern,loam,20.5,429.3,local,213.9,0,27,1.01,normal,maize,1,4.54
Central,sandy,26.2,989.1,OPV,130.4,1,4,3.94,normal,groundnuts,1,3.02
Southern,clay,23.9,931.0,hybrid,15.9,0,26,3.56,normal,none,0,2.93
Northern,clay,30.5,779.7,hybrid,207.8,0,15,3.98,early,none,0,4.95
Central,loam,29.4,1075.3,local,149.7,1,3,4.78,early,none,0,3.79
Northern,sandy,22.8,1044.5,local,28.7,0,5,3.99,late,groundnuts,0,1.13
Northern,loam,21.6,868.3,OPV,23.5,1,1,3.25,normal,maize,1,3.55
Northern,sandy,23.3,1094.6,hybrid,227.4,0,3,4.36,early,soybean,1,4.51
Southern,clay,26.3,564.7,OPV,167.3,0,15,3.53,early,none,0,4.16
Southern,clay,21.8,489.5,hybrid,207.3,0,24,2.34,late,maize,1,4.71
Central,clay,26.7,615.8,OPV,219.7,0,27,4.49,late,groundnuts,1,4.7
Central,clay,23.7,445.7,local,142.9,0,8,1.5,late,soybean,1,3.34
Southern,loam,25.7,824.9,hybrid,129.4,0,29,3.72,early,none,0,4.94
Northern,sandy,24.1,1149.3,OPV,107.6,0,4,4.47,early,groundnuts,1,3.17
Central,sandy,22.1,431.5,local,79.2,0,2,3.79,late,groundnuts,0,2.09
Southern,loam,31.3,497.7,local,108.6,1,29,3.64,normal,soybean,0,3.62
Southern,sandy,28.7,761.8,OPV,193.5,1,24,3.89,late,maize,1,3.79
Southern,clay,20.0,1147.1,hybrid,150.5,0,24,2.59,late,none,1,4.28
Northern,sandy,30.2,652.9,hybrid,223.1,0,10,4.43,late,none,0,4.41
Southern,clay,24.8,805.8,local,110.8,1,4,1.42,late,maize,1,2.67
Southern,loam,30.5,433.3,hybrid,151.8,0,3,1.07,early,maize,1,4.8
Southern,sandy,29.2,518.7,hybrid,157.8,0,2,1.78,normal,maize,0,3.95
Southern,loam,24.0,1189.3,hybrid,147.9,1,25,2.89,late,soybean,0,4.25
Central,sandy,18.3,1172.1,local,175.7,0,17,2.8,normal,soybean,0,3.05
Central,clay,21.8,404.0,OPV,59.4,0,23,4.19,normal,none,0,2.81
Southern,loam,25.6,1161.4,hybrid,128.1,1,21,2.32,normal,soybean,1,4.74
Northern,sandy,26.9,911.3,local,26.1,0,24,2.68,late,groundnuts,1,1.78
Central,clay,21.6,1094.3,local,96.1,0,20,0.56,early,none,0,3.27
Southern,loam,20.0,763.8,OPV,121.9,1,23,2.34,late,soybean,0,3.96
Central,loam,29.7,812.5,hybrid,163.1,0,13,3.41,normal,maize,0,4.6
Central,sandy,31.8,791.1,hybrid,237.6,1,5,0.57,normal,groundnuts,1,4.2
Northern,sandy,25.4,933.5,OPV,150.2,0,30,1.76,early,maize,0,3.21
Southern,sandy,20.4,511.7,OPV,185.9,0,21,1.44,late,none,1,3.86
Southern,clay,21.8,424.0,local,126.6,1,30,0.69,normal,maize,0,2.78
Northern,sandy,18.3,646.3,local,158.5,1,9,2.66,early,soybean,0,3.32
Northern,loam,30.8,963.7,OPV,17.7,0,25,1.32,normal,soybean,0,2.93
Southern,loam,19.6,561.5,hybrid,63.6,1,29,3.84,early,none,1,5.14
Southern,sandy,26.1,938.7,local,90.5,1,25,4.32,early,maize,1,3.55
Northern,sandy,21.8,1175.9,local,118.1,0,28,2.96,late,none,1,2.89
Central,loam,25.8,475.1,hybrid,11.4,0,22,4.92,normal,maize,0,3.22
Central,clay,27.1,938.1,local,35.0,0,6,2.53,late,groundnuts,1,2.27
Northern,sandy,29.6,755.0,hybrid,69.2,1,5,2.81,normal,soybean,1,3.45
Central,sandy,20.9,1094.5,hybrid,242.9,1,25,4.95,late,none,0,4.19
Northern,loam,18.2,541.7,hybrid,82.8,1,10,1.54,normal,groundnuts,0,3.24
Central,sandy,19.9,954.1,OPV,120.5,1,8,4.74,late,groundnuts,1,2.73
Central,clay,30.6,1070.5,OPV,49.0,0,7,0.69,early,none,1,2.8
Southern,loam,30.2,1155.7,OPV,152.7,1,7,2.51,normal,none,1,4.37
Southern,sandy,26.4,946.6,hybrid,70.2,0,6,0.82,normal,groundnuts,1,3.24
Central,loam,26.4,797.7,hybrid,51.7,1,21,3.78,early,maize,0,3.33
Central,sandy,27.3,894.3,OPV,129.1,0,29,3.24,late,groundnuts,0,2.48
Southern,sandy,20.5,1095.1,local,1.4,0,20,3.68,normal,none,0,1.87
Southern,sandy,30.8,856.5,hybrid,1.9,0,3,2.19,normal,groundnuts,1,1.93
Southern,clay,23.9,424.3,local,54.8,1,19,2.16,late,maize,1,1.87
Northern,clay,23.4,1144.8,local,9.2,0,22,0.7,early,soybean,0,2.08
Central,loam,25.3,951.6,hybrid,27.0,0,15,2.07,late,soybean,0,3.31
Southern,sandy,18.7,941.2,hybrid,84.7,1,4,4.68,late,groundnuts,1,2.84
Central,sandy,20.3,572.5,local,200.6,0,28,2.21,late,maize,1,3.63
Northern,clay,28.3,927.1,local,143.0,1,12,4.24,normal,soybean,0,3.17
Northern,sandy,19.2,715.1,OPV,128.2,1,6,4.29,early,groundnuts,0,2.84
Southern,clay,26.4,921.0,OPV,73.4,0,19,2.18,early,groundnuts,0,2.51
Northern,sandy,21.4,485.3,hybrid,232.9,0,4,3.34,late,maize,1,4.09
Central,loam,23.5,926.3,OPV,99.3,1,15,0.93,normal,none,1,4.0
Southern,sandy,22.0,1199.5,OPV,21.8,0,9,0.97,late,groundnuts,1,1.99
Central,sandy,23.0,438.6,OPV,154.3,1,5,0.72,normal,none,1,3.44
Central,clay,28.1,1181.7,OPV,28.5,1,13,3.11,normal,none,1,2.3
Northern,sandy,22.2,725.5,local,86.3,1,23,2.42,normal,soybean,1,2.72
Northern,sandy,25.9,1096.6,hybrid,126.9,0,26,2.97,normal,none,0,3.04
Northern,clay,24.7,1025.9,OPV,218.6,1,18,2.84,early,maize,0,4.45
Northern,loam,27.3,853.6,local,123.4,0,30,2.08,normal,soybean,1,4.46
Northern,loam,31.1,990.8,local,175.6,0,30,3.55,normal,soybean,0,3.91
Southern,clay,28.3,1102.8,local,248.2,0,5,3.91,late,soybean,1,3.91
Central,clay,21.0,723.3,OPV,32.9,0,25,0.57,late,groundnuts,0,2.53
Central,clay,18.4,661.6,OPV,68.7,1,16,1.43,early,groundnuts,1,3.43
Central,clay,21.7,934.1,hybrid,98.6,0,27,3.71,late,none,0,3.39
Central,clay,26.3,1046.3,OPV,105.5,1,19,2.24,normal,soybean,0,3.08
Northern,loam,18.7,1009.8,OPV,102.8,1,14,3.48,late,soybean,1,3.07
Central,loam,24.9,1038.3,local,226.9,0,25,2.06,early,maize,1,5.0
Southern,clay,26.4,748.5,hybrid,178.5,1,30,2.26,late,none,0,5.05
Southern,sandy,22.7,1054.3,OPV,152.0,1,16,1.21,late,maize,0,3.27
Central,clay,28.8,496.2,OPV,77.3,0,27,1.66,early,none,1,3.31
Central,sandy,19.5,835.6,local,205.9,1,15,3.22,early,none,0,3.71
Southern,clay,19.1,404.6,local,238.8,1,22,2.45,normal,groundnuts,1,4.57
Southern,clay,28.2,659.7,OPV,205.3,1,4,3.98,late,groundnuts,1,3.74
Northern,loam,24.9,693.2,hybrid,0.4,1,7,4.34,normal,maize,0,3.14
Southern,sandy,27.6,716.9,hybrid,159.1,0,16,2.94,late,none,1,3.88
Northern,sandy,24.1,956.4,local,12.8,1,24,3.91,late,soybean,0,1.66
Northern,loam,21.4,710.8,local,64.4,1,22,1.88,normal,groundnuts,0,2.84
Northern,loam,29.5,759.0,OPV,14.9,1,21,2.37,late,soybean,1,3.31
Northern,loam,29.2,590.0,local,150.9,1,22,3.71,late,maize,0,4.0
Northern,loam,27.7,698.6,OPV,171.6,0,21,2.24,late,groundnuts,1,4.27
Central,sandy,21.8,581.8,hybrid,28.6,1,8,3.15,early,groundnuts,1,2.9
Southern,sandy,26.3,458.6,hybrid,96.0,0,17,1.33,normal,none,1,3.25
